airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-05-27,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,7514
Indigo,2019-06-27,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-03-12,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,No Info,13817
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14571
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,15129
Indigo,2019-03-21,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,6893
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,13584
Multiple Carriers,2019-03-27,Delhi,Cochin,10:45:00,19:15:00,510,1.0,No Info,7154
Indigo,2019-03-01,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,12649
Indigo,2019-05-27,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,5224
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No Info,14781
Indigo,2019-04-03,Delhi,Cochin,10:35:00,15:35:00,300,1.0,No Info,5073
Spicejet,2019-06-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Vistara,2019-03-24,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,11913
Multiple Carriers,2019-06-24,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7198
Jet Airways,2019-06-03,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Air India,2019-04-21,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Jet Airways,2019-03-21,Banglore,New Delhi,21:25:00,11:25:00,840,1.0,In-flight meal not included,7832
Jet Airways,2019-03-06,Delhi,Cochin,15:05:00,04:25:00,800,1.0,No Info,15764
Multiple Carriers,2019-06-01,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,12717
Jet Airways,2019-06-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Jet Airways,2019-06-03,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,8016
Jet Airways,2019-05-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Indigo,2019-05-09,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,8854
Air India,2019-03-01,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,6535
Vistara,2019-03-24,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,5403
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Jet Airways,2019-05-12,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,5678
Indigo,2019-05-15,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Air India,2019-05-21,Banglore,Delhi,05:45:00,08:45:00,180,0.0,No Info,6961
Jet Airways,2019-05-18,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,19644
Air Asia,2019-06-24,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Indigo,2019-06-06,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10112
Air India,2019-06-06,Kolkata,Banglore,08:20:00,21:50:00,810,2.0,No Info,10697
Indigo,2019-04-01,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5073
Jet Airways,2019-03-27,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,12242
Jet Airways,2019-06-09,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,10262
Indigo,2019-05-18,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6818
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,09:15:00,810,1.0,In-flight meal not included,11134
Jet Airways,2019-05-24,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,15129
Multiple Carriers,2019-06-27,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,15965
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,7341
Spicejet,2019-05-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,12576
Air India,2019-05-21,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Multiple Carriers,2019-06-24,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Air India,2019-04-21,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No Info,7258
Indigo,2019-05-06,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Indigo,2019-04-18,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,5224
Jet Airways,2019-05-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4030
Vistara,2019-04-18,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5823
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Multiple Carriers,2019-03-21,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No Info,8307
Multiple Carriers,2019-03-06,Delhi,Cochin,13:55:00,01:35:00,700,1.0,In-flight meal not included,15136
Indigo,2019-03-27,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4392
Vistara,2019-04-27,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5403
Indigo,2019-06-24,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No Info,6838
Indigo,2019-03-03,Delhi,Cochin,09:10:00,21:00:00,710,1.0,No Info,14871
Vistara,2019-06-01,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,21:00:00,660,1.0,In-flight meal not included,9275
Goair,2019-05-09,Kolkata,Banglore,23:30:00,07:45:00,495,1.0,No Info,6095
Spicejet,2019-06-15,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,5583
Jet Airways,2019-06-01,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,15190
Spicejet,2019-04-21,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,4439
Indigo,2019-06-24,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13292
Air India,2019-06-09,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Jet Airways,2019-06-27,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Spicejet,2019-06-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Indigo,2019-06-18,Banglore,Delhi,05:30:00,08:20:00,170,0.0,No Info,3943
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,15:55:00,420,2.0,No Info,16338
Indigo,2019-03-21,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,8470
Air India,2019-03-21,Delhi,Cochin,17:45:00,23:00:00,315,1.0,No Info,5704
Vistara,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Air India,2019-04-21,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6121
Air India,2019-03-03,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No Info,8588
Jet Airways,2019-03-24,Banglore,New Delhi,22:50:00,12:15:00,805,1.0,In-flight meal not included,7832
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Air India,2019-03-06,Mumbai,Hyderabad,13:30:00,16:55:00,205,2.0,No Info,18797
Air India,2019-06-24,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13381
Air India,2019-03-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,7165
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-27,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,12192
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,23:00:00,900,1.0,In-flight meal not included,7832
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,04:25:00,1060,2.0,In-flight meal not included,8367
Air India,2019-04-09,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,8052
Air Asia,2019-05-18,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,6857
Jet Airways,2019-06-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Air India,2019-06-12,Kolkata,Banglore,05:50:00,08:55:00,1625,2.0,No Info,12723
Air Asia,2019-06-06,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No Info,6810
Spicejet,2019-05-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Air India,2019-06-01,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Multiple Carriers,2019-05-09,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7575
Jet Airways,2019-06-27,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-06,Delhi,Cochin,13:05:00,21:20:00,495,2.0,No Info,10759
Air India,2019-06-12,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,8991
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,18371
Air India,2019-06-03,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,11911
Air India,2019-05-09,Delhi,Cochin,05:00:00,07:40:00,1600,2.0,No Info,11281
Vistara,2019-04-18,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5613
Multiple Carriers,2019-06-06,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Indigo,2019-03-24,Kolkata,Banglore,17:15:00,20:00:00,165,0.0,No Info,6565
Indigo,2019-06-15,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Indigo,2019-03-21,Delhi,Cochin,09:10:00,15:30:00,380,1.0,No Info,9709
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,No Info,13555
Indigo,2019-06-03,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Multiple Carriers,2019-03-03,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No Info,13838
Spicejet,2019-04-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Air India,2019-05-06,Kolkata,Banglore,10:00:00,10:00:00,1440,2.0,No Info,14298
Spicejet,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Indigo,2019-05-06,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,20:20:00,1375,1.0,No Info,17471
Indigo,2019-03-24,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,6860
Spicejet,2019-06-24,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3859
Multiple Carriers,2019-06-24,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9856
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,In-flight meal not included,9663
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,20:40:00,405,1.0,In-flight meal not included,11134
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12373
Air India,2019-03-12,Banglore,New Delhi,17:25:00,10:15:00,1010,2.0,No Info,12778
Indigo,2019-04-06,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Spicejet,2019-06-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3311
Jet Airways,2019-03-18,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,2228
Air Asia,2019-03-09,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,4482
Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,04:25:00,830,2.0,In-flight meal not included,10919
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,485,2.0,In-flight meal not included,8367
Jet Airways,2019-04-15,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Indigo,2019-06-01,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,6442
Indigo,2019-04-27,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5796
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,23:35:00,1720,1.0,In-flight meal not included,10844
Indigo,2019-05-18,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-09,Delhi,Cochin,21:35:00,12:35:00,900,2.0,No Info,13882
Air India,2019-06-12,Delhi,Cochin,13:05:00,09:25:00,1220,2.0,No Info,10975
Jet Airways,2019-05-06,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,7064
Jet Airways,2019-06-01,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8849
Air India,2019-05-12,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,11411
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,11467
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No Info,12121
Spicejet,2019-03-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,5515
Indigo,2019-05-06,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,04:40:00,1375,1.0,No Info,13941
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,13029
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,11467
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,20:45:00,1695,1.0,In-flight meal not included,9663
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8529
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,No Info,14571
Jet Airways,2019-06-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,7229
Air India,2019-04-01,Kolkata,Banglore,19:00:00,04:40:00,580,1.0,No Info,4227
Air Asia,2019-03-24,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,3383
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,15:15:00,435,1.0,No Info,19225
Air India,2019-03-06,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,12646
Goair,2019-06-01,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Air India,2019-06-09,Kolkata,Banglore,09:50:00,12:30:00,1600,2.0,No Info,14960
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Indigo,2019-06-27,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,5883
Air Asia,2019-06-24,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Indigo,2019-06-18,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,No Info,15339
Spicejet,2019-03-21,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No check-in baggage included,3815
Air India,2019-06-27,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,6961
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,15554
Air India,2019-05-21,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,10975
Multiple Carriers,2019-05-27,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,13377
Air India,2019-04-15,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Air India,2019-03-01,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No Info,28322
Indigo,2019-06-06,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Multiple Carriers,2019-05-27,Delhi,Cochin,17:45:00,01:30:00,465,1.0,No Info,6795
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No Info,15554
Air Asia,2019-04-18,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Multiple Carriers,2019-06-03,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,13377
Multiple Carriers,2019-06-01,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,12524
Air India,2019-04-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,4487
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8586
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,13941
Indigo,2019-03-06,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,5618
Indigo,2019-06-06,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,13941
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,8066
Air Asia,2019-03-18,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,4384
Multiple Carriers,2019-05-15,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,16840
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,14151
Multiple Carriers,2019-06-12,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,11789
Indigo,2019-03-21,Banglore,New Delhi,00:40:00,03:25:00,165,0.0,No Info,4944
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,14714
Jet Airways,2019-03-15,Banglore,New Delhi,16:55:00,00:45:00,470,1.0,No Info,21934
Air Asia,2019-04-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,12121
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,12384
Indigo,2019-05-09,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Air Asia,2019-05-03,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,5989
Jet Airways,2019-03-09,Mumbai,Hyderabad,19:40:00,21:10:00,90,0.0,No Info,5678
Air India,2019-06-06,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8372
Indigo,2019-05-18,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No Info,3943
Vistara,2019-05-01,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,10844
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,12692
Indigo,2019-03-15,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,3342
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,12242
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,10703
Indigo,2019-06-24,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5000
Indigo,2019-06-15,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,13:15:00,450,1.0,No Info,19225
Jet Airways,2019-04-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Jet Airways,2019-05-12,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Multiple Carriers,2019-06-09,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,12192
Jet Airways,2019-06-15,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Indigo,2019-03-24,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,4326
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,04:45:00,710,1.0,No Info,14231
Jet Airways,2019-04-27,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Air India,2019-06-06,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Indigo,2019-06-01,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-03-27,Delhi,Cochin,20:50:00,04:25:00,455,1.0,No Info,12242
Air India,2019-05-06,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Air India,2019-06-21,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Air Asia,2019-06-15,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6253
Air India,2019-05-18,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,13486
Air India,2019-04-01,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No Info,8030
Indigo,2019-03-27,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4148
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Air India,2019-05-27,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No Info,12488
Air Asia,2019-05-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Jet Airways,2019-06-24,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Jet Airways,2019-05-24,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,7064
Jet Airways,2019-05-24,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,6287
Air India,2019-05-09,Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No Info,13591
Multiple Carriers,2019-06-03,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,9001
Indigo,2019-03-03,Delhi,Cochin,10:45:00,01:35:00,890,1.0,No Info,14871
Air Asia,2019-03-09,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,7652
Indigo,2019-03-01,Delhi,Cochin,04:55:00,21:20:00,985,2.0,No Info,10278
Indigo,2019-06-06,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,8066
Vistara,2019-06-24,Chennai,Kolkata,07:45:00,10:00:00,135,0.0,No Info,3687
Indigo,2019-06-03,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,7189
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,10262
Indigo,2019-06-06,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Indigo,2019-05-01,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Multiple Carriers,2019-04-09,Delhi,Cochin,06:00:00,13:20:00,440,1.0,No Info,8323
Indigo,2019-03-06,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No Info,4784
Indigo,2019-06-09,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,8452
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,13731
Air India,2019-03-18,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5674
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5158
Air India,2019-05-15,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,11543
Air India,2019-06-01,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Air Asia,2019-06-03,Delhi,Cochin,20:45:00,06:35:00,590,1.0,No Info,11410
Air India,2019-03-12,Mumbai,Hyderabad,01:35:00,14:50:00,795,2.0,No Info,9977
Air Asia,2019-04-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,14714
Indigo,2019-03-18,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,2227
Multiple Carriers,2019-06-01,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7408
Indigo,2019-05-09,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6734
Indigo,2019-03-09,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4148
Indigo,2019-06-15,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Indigo,2019-03-24,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Air India,2019-06-01,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,13013
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,10262
Goair,2019-05-03,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Indigo,2019-03-15,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,3175
Air Asia,2019-05-24,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Air India,2019-03-15,Banglore,New Delhi,22:00:00,23:20:00,1520,1.0,No Info,6850
Indigo,2019-06-21,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Indigo,2019-05-06,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,7191
Jet Airways,2019-06-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Air India,2019-06-24,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,11989
Jet Airways,2019-03-27,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No Info,12242
Goair,2019-04-24,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5430
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,No Info,12681
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,10:25:00,1365,1.0,No Info,17261
Vistara,2019-05-12,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,8085
Indigo,2019-05-18,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Air India,2019-04-12,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,5911
Multiple Carriers,2019-03-09,Delhi,Cochin,07:05:00,22:20:00,915,1.0,No Info,6916
